subject	relation	object	time_step	datetime
TURKEY	111 Criticize or denounce 	COMMUNITY	25950	2018-01-19 00:30
POLICE	015 Acknowledge or claim responsibility	SANTIAGO	12900	2018-01-09 23:00
ATTORNEY	181 Abduct, hijack, or take hostage 	DOCTOR	34005	2018-01-24 14:45
UNITED STATES	043 Host a visit	SERVER	2760	2018-01-02 22:00
UNITED STATES	120 Reject, not specified below	PRISON	31410	2018-01-22 19:30
KING	051 Praise or endorse	UNITED STATES	21075	2018-01-15 15:15
NASA	120 Reject, not specified below	ADVOCATE	23775	2018-01-17 12:15
DEPUTIES	114 Complain officially 	CRIMINAL	6030	2018-01-05 04:30
ATTORNEY	084 Return, release, not specified below	UNITED STATES	16815	2018-01-12 16:15
GOVERNMENT	036 Express intent to meet or negotiate	PREACHER	4230	2018-01-03 22:30
CONGRESS	020 Appeal, not specified below	PRESIDENT	24255	2018-01-17 20:15
CONSTITUENT	040 Consult, not specified below	GEORGETOWN	13950	2018-01-10 16:30
PRESIDENT	042 Make a visit	ISRAEL	26880	2018-01-19 16:00
PRESIDENT	051 Praise or endorse	SOUTH AFRICAN	26490	2018-01-19 09:30
GUATEMALA	060 Engage in material cooperation, not specified below	AMERICAN	16185	2018-01-12 05:45
ADMINISTRATION	071 Provide economic aid	ALASKA	25095	2018-01-18 10:15
PEACEKEEPING TROOP	0861 Receive deployment of peacekeepers	SYRIAN	9885	2018-01-07 20:45
PRESIDENT	022 Appeal for diplomatic cooperation, such as policy support	UNITED STATES	30480	2018-01-22 04:00
UNITED KINGDOM	042 Make a visit	CABINET	3900	2018-01-03 17:00
PRISONER	173 Arrest, detain, or charge with legal action 	MOSUL	2850	2018-01-02 23:30
UZBEKISTAN	043 Host a visit	KAZAKHSTAN	28170	2018-01-20 13:30
DEPARTMENT OF EDUCATION	010 Make statement, not specified below	STUDENT	11520	2018-01-09 00:00
UNITED STATES	010 Make statement, not specified below	WRITER	32805	2018-01-23 18:45
SAUDI ARABIA	173 Arrest, detain, or charge with legal action 	NEW ORLEANS	13830	2018-01-10 14:30
UNITED STATES	036 Express intent to meet or negotiate	POLICE	4275	2018-01-03 23:15
ISRAEL	012 Make pessimistic comment	KENYA	11655	2018-01-09 02:15
MEXICO	010 Make statement, not specified below	CANADA	5190	2018-01-04 14:30
UNITED STATES	040 Consult, not specified below	GOVERNMENT	16860	2018-01-12 17:00
INVESTOR	010 Make statement, not specified below	CREDIT SUISSE	13350	2018-01-10 06:30
GERMANY	190 Use conventional military force, not specified below	DAVOS	20850	2018-01-15 11:30
EMMERSON MNANGAGWA	046 Engage in negotiation	ZAMBIAN	27060	2018-01-19 19:00
ZAMBIA	036 Express intent to meet or negotiate	NAMIBIA	16335	2018-01-12 08:15
PRESIDENT	161 Reduce or break diplomatic relations	PALESTINIAN	7710	2018-01-06 08:30
THERESA MAY	043 Host a visit	PRIME MINISTER	16545	2018-01-12 11:45
EMPLOYEE	057 Sign formal agreement	COMPANY	15930	2018-01-12 01:30
UNITED STATES	051 Praise or endorse	STUDENT	10860	2018-01-08 13:00
ITALY	042 Make a visit	ARGENTINA	28665	2018-01-20 21:45
PRIME MINISTER	043 Host a visit	CANADA	12975	2018-01-10 00:15
RUSSIAN	043 Host a visit	UZBEKISTAN	30360	2018-01-22 02:00
SAUDI ARABIA	020 Appeal, not specified below	PRODUCER	29430	2018-01-21 10:30
FARMER	040 Consult, not specified below	UNITED STATES	27435	2018-01-20 01:15
MINIST	040 Consult, not specified below	GALWAY	3960	2018-01-03 18:00
JUDGE	010 Make statement, not specified below	DETECTIVE	26100	2018-01-19 03:00
ADVISORY BOARD	010 Make statement, not specified below	UNITED STATES	27045	2018-01-19 18:45
CHAMBER	046 Engage in negotiation	COMMUNITY	8310	2018-01-06 18:30
RAJASTHAN	0841 Return, release person(s)	COMMUNITY	23685	2018-01-17 10:45
SCIENTIST	010 Make statement, not specified below	PANAMA	31395	2018-01-22 19:15
WARSAW	042 Make a visit	CABINET	12225	2018-01-09 11:45
KAZAKHSTAN	043 Host a visit	CHINA	7755	2018-01-06 09:15
POLICE	173 Arrest, detain, or charge with legal action 	WORKER	21165	2018-01-15 16:45
GOOGLE	111 Criticize or denounce 	COMPANY	16845	2018-01-12 16:45
PRESIDENT	040 Consult, not specified below	CORRESPONDENT	13050	2018-01-10 01:30
MUNICH	040 Consult, not specified below	UNITED KINGDOM	27210	2018-01-19 21:30
FRANCE	020 Appeal, not specified below	TURKEY	29685	2018-01-21 14:45
POLICE	040 Consult, not specified below	ONTARIO	24405	2018-01-17 22:45
PRIME MINISTER	060 Engage in material cooperation, not specified below	SRI LANKA	11235	2018-01-08 19:15
UNITED STATES	120 Reject, not specified below	BARACK OBAMA	29505	2018-01-21 11:45
ATTORNEY	112 Accuse, not specified below	UNITED STATES	14985	2018-01-11 09:45
RAKHINE	040 Consult, not specified below	UNHCR	32685	2018-01-23 16:45
MURRAY	017 Engage in symbolic act	CHRISTIAN	32895	2018-01-23 20:15
COSTA RICA	190 Use conventional military force, not specified below	UNITED STATES	3270	2018-01-03 06:30
UNITED STATES	026 Appeal to others to meet or negotiate	TRINIDAD AND TOBAGO	11550	2018-01-09 00:30
RESIDENTS	070 Provide aid, not specified below	BANK	34395	2018-01-24 21:15
SINGAPORE	060 Engage in material cooperation, not specified below	COMPANY	2280	2018-01-02 14:00
SENATE	040 Consult, not specified below	MANUFACTURER	33945	2018-01-24 13:45
UNITED STATES	042 Make a visit	BERLIN	14595	2018-01-11 03:15
JOURNALIST	050 Engage in diplomatic cooperation, not specified below	ADMINISTRATION	17595	2018-01-13 05:15
UNITED STATES	010 Make statement, not specified below	IRAN	12990	2018-01-10 00:30
MILWAUKEE	173 Arrest, detain, or charge with legal action 	LAW ENFORCEMENT OFFICER	3780	2018-01-03 15:00
COMPANY	193 Fight with small arms and light weapons	BULGARIA	10920	2018-01-08 14:00
BUSINESS	112 Accuse, not specified below	UNITED STATES	24690	2018-01-18 03:30
ACTIVIST	141 Demonstrate or rally	PRESIDENT	31050	2018-01-22 13:30
UNITED STATES	042 Make a visit	STUDENT	14565	2018-01-11 02:45
WORKER	040 Consult, not specified below	PRESIDENT	10980	2018-01-08 15:00
IRANIAN	040 Consult, not specified below	GERMAN	27810	2018-01-20 07:30
UNITED STATES	013 Make optimistic comment	PUERTO RICO	22515	2018-01-16 15:15
ECUADOR	084 Return, release, not specified below	UNITED KINGDOM	17355	2018-01-13 01:15
BAHAMA	060 Engage in material cooperation, not specified below	MINIST OF LABOUR	27300	2018-01-19 23:00
CHINA	100 Demand, not specified below	BEIJING	21060	2018-01-15 15:00
ARGENTINA	036 Express intent to meet or negotiate	PRISON	6855	2018-01-05 18:15
AMERICAN CIVIL LIBERTIES UNION	020 Appeal, not specified below	DEPARTMENT OF EDUCATION	12915	2018-01-09 23:15
HOSPITAL	010 Make statement, not specified below	NONTHABURI	6735	2018-01-05 16:15
GOVERNOR	040 Consult, not specified below	NIGERIA	12285	2018-01-09 12:45
BUSINESS	042 Make a visit	FRENCH	31830	2018-01-23 02:30
THE US	042 Make a visit	BUSINESS	24525	2018-01-18 00:45
CONGRESS	114 Complain officially 	PRESIDENT	23865	2018-01-17 13:45
UNITED STATES	046 Engage in negotiation	STUDENT	12840	2018-01-09 22:00
INDIGENOUS PEOPLE	014 Consider policy option	PHILIPPINE	31905	2018-01-23 03:45
KING	020 Appeal, not specified below	JERSEY	25365	2018-01-18 14:45
BANK	071 Provide economic aid	TEXAS	19425	2018-01-14 11:45
UNITED STATES	100 Demand, not specified below	OBAMA	25335	2018-01-18 14:15
EMPLOYEE	050 Engage in diplomatic cooperation, not specified below	GOVERNOR	17490	2018-01-13 03:30
ISRAEL	075 Grant asylum	SUDAN	16215	2018-01-12 06:15
NEW JERSEY	020 Appeal, not specified below	EDUCATION OFFICIAL	11235	2018-01-08 19:15
TELUS	040 Consult, not specified below	VANCOUVER	6690	2018-01-05 15:30
PAKISTAN	043 Host a visit	AFGHANISTAN	22845	2018-01-16 20:45
NEW DELHI	084 Return, release, not specified below	GOVERNMENT	22350	2018-01-16 12:30
PAKISTAN	010 Make statement, not specified below	CHINESE	4695	2018-01-04 06:15
RUSSIA	040 Consult, not specified below	VIETNAM	32280	2018-01-23 10:00
UNITED STATES	010 Make statement, not specified below	LEGISLATURE	2895	2018-01-03 00:15
ISRAEL	042 Make a visit	DOCTOR	5475	2018-01-04 19:15
CHAMBER	071 Provide economic aid	SCHOOL	7215	2018-01-06 00:15
UNIVERSITY	051 Praise or endorse	UNITED STATES	26820	2018-01-19 15:00
DETROIT	090 Investigate, not specified below	WORKER	7530	2018-01-06 05:30
PORTLAND	037 Express intent to settle dispute	SCHOOL	33435	2018-01-24 05:15
CHIEF MINISTER	1821 Sexually assault	POLICE	29220	2018-01-21 07:00
POLICE	173 Arrest, detain, or charge with legal action 	ORLANDO	18960	2018-01-14 04:00
UNITED NATIONS	036 Express intent to meet or negotiate	AMBASSADOR	25725	2018-01-18 20:45
PUNE	112 Accuse, not specified below	PRIME MINISTER	3660	2018-01-03 13:00
ACTIVIST	138 Threaten to use military force, not specified below	TRADE UNION	17025	2018-01-12 19:45
AUSTRALIA	042 Make a visit	CROOK	16905	2018-01-12 17:45
UNITED STATES	190 Use conventional military force, not specified below	ROMANIA	25710	2018-01-18 20:30
SPAIN	031 Express intent to engage in material cooperation,  not specified below	CATALONIA	21375	2018-01-15 20:15
SLOVAK	020 Appeal, not specified below	GREAT BRITAIN	23490	2018-01-17 07:30
NEW YORK	010 Make statement, not specified below	BUSINESS	12450	2018-01-09 15:30
SCHOOL	010 Make statement, not specified below	JEWISH	24285	2018-01-17 20:45
FINN	173 Arrest, detain, or charge with legal action 	UNITED STATES	870	2018-01-01 14:30
PARLIAMENT	040 Consult, not specified below	PRISON	29220	2018-01-21 07:00
SOUTH AFRICAN	036 Express intent to meet or negotiate	MEDIA	31140	2018-01-22 15:00
EMPLOYER	046 Engage in negotiation	ONTARIO	5655	2018-01-04 22:15
UNITED STATES	070 Provide aid, not specified below	BANK	29295	2018-01-21 08:15
BRITAIN	046 Engage in negotiation	THE EU	23790	2018-01-17 12:30
GUNMEN	193 Fight with small arms and light weapons	AFGHAN	32055	2018-01-23 06:15
TELEVISION	020 Appeal, not specified below	CONGRESS	12975	2018-01-10 00:15
ISRAEL	112 Accuse, not specified below	PALESTINIAN	32685	2018-01-23 16:45
FLORIDA	036 Express intent to meet or negotiate	AIR FORCE	27240	2018-01-19 22:00
COMPANY	127 Reject plan, agreement to settle dispute	KOLKATA	15495	2018-01-11 18:15
JOURNALIST	013 Make optimistic comment	NEW DELHI	5535	2018-01-04 20:15
PUNE	190 Use conventional military force, not specified below	POLICE	13950	2018-01-10 16:30
REGIME	196 Violate ceasefire 	SCHOOL	19860	2018-01-14 19:00
SINGAPORE	173 Arrest, detain, or charge with legal action 	INTELLIGENCE OFFICER	7425	2018-01-06 03:45
WORKER	112 Accuse, not specified below	CONGRESS	20865	2018-01-15 11:45
UNITED KINGDOM	182 Physically assault, not specified below	MUSLIM MIGRANT	195	2018-01-01 03:15
UNITED STATES	052 Defend verbally	SENATOR	31170	2018-01-22 15:30
UNITED STATES	071 Provide economic aid	CHINA	31110	2018-01-22 14:30
PALESTINIAN	050 Engage in diplomatic cooperation, not specified below	ISRAEL	12855	2018-01-09 22:15
UNITED ARAB EMIRATES	042 Make a visit	LONDON	22560	2018-01-16 16:00
THE WHITE HOUSE	010 Make statement, not specified below	RUSSIA	32490	2018-01-23 13:30
POLICE	090 Investigate, not specified below	HONDA	8835	2018-01-07 03:15
NEWS OUTLET	020 Appeal, not specified below	GOVERNMENT	22800	2018-01-16 20:00
AUTHORITIES	173 Arrest, detain, or charge with legal action 	TRINIDAD	5370	2018-01-04 17:30
CONGRESS	010 Make statement, not specified below	CHINESE	26760	2018-01-19 14:00
FLORIDA	020 Appeal, not specified below	SPEAKER OF THE HOUSE	14085	2018-01-10 18:45
JUDICIARY	040 Consult, not specified below	CRIMINAL	27165	2018-01-19 20:45
MALTA	173 Arrest, detain, or charge with legal action 	CRIMINAL	22800	2018-01-16 20:00
UNITED KINGDOM	111 Criticize or denounce 	GOVERNMENT	26085	2018-01-19 02:45
NEPAL	042 Make a visit	LAWYER	10320	2018-01-08 04:00
CONGRESS	030 Express intent to cooperate, not specified below	ADMINISTRATION	7215	2018-01-06 00:15
JAMAICA	051 Praise or endorse	LONDON	16665	2018-01-12 13:45
ILLEGAL IMMIGRANT	010 Make statement, not specified below	AMERICAN	32505	2018-01-23 13:45
UNITED STATES	052 Defend verbally	DETECTIVE	7635	2018-01-06 07:15
WORKER	036 Express intent to meet or negotiate	EMPLOYER	23880	2018-01-17 14:00
TALIBAN	112 Accuse, not specified below	PAKISTANI	33000	2018-01-23 22:00
CHINA	128 Defy norms, law	COMPANY	23535	2018-01-17 08:15
CHINA	014 Consider policy option	CHINESE	15	2018-01-01 00:15
UNITED STATES	040 Consult, not specified below	CANADA	25830	2018-01-18 22:30
CZECH REPUBLIC	010 Make statement, not specified below	PRIME MINISTER	14985	2018-01-11 09:45
UNITED STATES	112 Accuse, not specified below	SENATE	22200	2018-01-16 10:00
DEPUTY	190 Use conventional military force, not specified below	IRAN	1485	2018-01-02 00:45
MUSEVENI	043 Host a visit	KAMPALA	5550	2018-01-04 20:30
GERMANY	040 Consult, not specified below	CHRISTIAN	16245	2018-01-12 06:45
MILITANT	112 Accuse, not specified below	MILITARY	33990	2018-01-24 14:30
FLORIDA	090 Investigate, not specified below	STUDENT	14385	2018-01-10 23:45
A CABINET MEETING	114 Complain officially 	COMMUNITY	11970	2018-01-09 07:30
DUBAI	012 Make pessimistic comment	IRAN	3390	2018-01-03 08:30
ARMENIA	051 Praise or endorse	SYRIA	12045	2018-01-09 08:45
HASSAN	040 Consult, not specified below	SYRIA	24705	2018-01-18 03:45
GOVERNMENT	020 Appeal, not specified below	UNIVERSITY	4230	2018-01-03 22:30
ISRAEL	051 Praise or endorse	BUSINESS	4440	2018-01-04 02:00
JUDGE	110 Disapprove, not specified below	CHAMBER	31485	2018-01-22 20:45
STUDENT	172 Impose administrative sanctions, not specified below	GOVERNMENT	22095	2018-01-16 08:15
NEW YORK CITY	1313 Threaten to reduce or break relations	PRESIDENT	34230	2018-01-24 18:30
AIRLINE	043 Host a visit	NORTH KOREAN	3885	2018-01-03 16:45
EMPLOYEE	173 Arrest, detain, or charge with legal action 	PRISON	32445	2018-01-23 12:45
THE US	051 Praise or endorse	BUSINESS	23640	2018-01-17 10:00
TURKISH	190 Use conventional military force, not specified below	CIVILIAN	32610	2018-01-23 15:30
DIRECTOR GENERAL	010 Make statement, not specified below	SAMOA	6075	2018-01-05 05:15
THE US	162 Reduce or stop aid, not specified below	MILITARY	6225	2018-01-05 07:45
METHODIST CHURCH	012 Make pessimistic comment	UNITED STATES	28035	2018-01-20 11:15
ARGENTINA	090 Investigate, not specified below	RUSSIA	21645	2018-01-16 00:45
RETIRED	042 Make a visit	APACHE	24195	2018-01-17 19:15
LAOS	043 Host a visit	HO CHI MINH CITY	7890	2018-01-06 11:30
WORKER	040 Consult, not specified below	ADMINISTRATION	12915	2018-01-09 23:15
ISRAEL	051 Praise or endorse	PALESTINIAN	23415	2018-01-17 06:15
SENATE	111 Criticize or denounce 	GOVERNMENT	26025	2018-01-19 01:45
MUSLIM	042 Make a visit	BUDDHIST	19050	2018-01-14 05:30
ISRAEL	042 Make a visit	UNIVERSITY	10950	2018-01-08 14:30
FRENCH	036 Express intent to meet or negotiate	UNITED KINGDOM	23865	2018-01-17 13:45
UNITED STATES	036 Express intent to meet or negotiate	FIRST LADY	32265	2018-01-23 09:45
JORDAN	075 Grant asylum	JEWISH	31410	2018-01-22 19:30
NIGERIA	012 Make pessimistic comment	PRESIDENT	29775	2018-01-21 16:15
SECOND LIEUTENANT	010 Make statement, not specified below	MEDIA	10455	2018-01-08 06:15
MADHYA PRADESH	084 Return, release, not specified below	PRIME MINISTER	30870	2018-01-22 10:30
TOURISM INDUSTRY	013 Make optimistic comment	BEIJING	14475	2018-01-11 01:15
SYRIA	084 Return, release, not specified below	GOVERNMENT FORCES	17475	2018-01-13 03:15
APPEALS COURT	173 Arrest, detain, or charge with legal action 	UNITED STATES	28755	2018-01-20 23:15
UNITED STATES	042 Make a visit	PRESIDENT	27525	2018-01-20 02:45
FRENCH POLYNESIA	090 Investigate, not specified below	QATAR	16650	2018-01-12 13:30
MUSLIM	190 Use conventional military force, not specified below	FIGHTER	20070	2018-01-14 22:30
SEMI OFFICIAL	010 Make statement, not specified below	PALESTINE	23070	2018-01-17 00:30
BISHOP	043 Host a visit	CHILE	20775	2018-01-15 10:15
RIYADH	036 Express intent to meet or negotiate	ABDULLAH	5880	2018-01-05 02:00
GHANA	051 Praise or endorse	COMPANY	12330	2018-01-09 13:30
LAWYER	010 Make statement, not specified below	SMALL TOWN	11415	2018-01-08 22:15
PRIME MINISTER	036 Express intent to meet or negotiate	BULGARIA	3690	2018-01-03 13:30
NEW BRUNSWICK	030 Express intent to cooperate, not specified below	SAINT	15435	2018-01-11 17:15
INDIANA	036 Express intent to meet or negotiate	COMMUNITY	1560	2018-01-02 02:00
MINISTRY	010 Make statement, not specified below	MEXICO	25470	2018-01-18 16:30
INTERPOL	100 Demand, not specified below	ISRAELI	24300	2018-01-17 21:00
EDITOR IN CHIEF	0253 Appeal for release of persons or property	MYANMAR	11580	2018-01-09 01:00
PEPSICO	040 Consult, not specified below	COMPANY	25485	2018-01-18 16:45
ISRAEL	014 Consider policy option	NORTH KOREA	11265	2018-01-08 19:45
CANADA	160 Reduce relations, not specified below	IRAN	555	2018-01-01 09:15
UNITED STATES	040 Consult, not specified below	SCHOOL	3945	2018-01-03 17:45
ISLAMIC	180 Use unconventional violence, not specified below	AFGHANISTAN	30645	2018-01-22 06:45
ATTORNEY	173 Arrest, detain, or charge with legal action 	RESIDENTS	26940	2018-01-19 17:00
GALICIA	043 Host a visit	FRANCE	3435	2018-01-03 09:15
COMPANIES	111 Criticize or denounce 	UNITED STATES	11550	2018-01-09 00:30
FIRE MARSHAL	190 Use conventional military force, not specified below	UNITED STATES	3825	2018-01-03 15:45
TURKISH	042 Make a visit	GREEK	2250	2018-01-02 13:30
KARNATAKA	020 Appeal, not specified below	CONGRESS	15210	2018-01-11 13:30
CLERIC	051 Praise or endorse	ISLAMIC	3930	2018-01-03 17:30
PAKISTANI	173 Arrest, detain, or charge with legal action 	THAILAND	23010	2018-01-16 23:30
AUSTRALIA	010 Make statement, not specified below	HOSPITAL	11910	2018-01-09 06:30
RUSSIAN	190 Use conventional military force, not specified below	RUSSIA	13380	2018-01-10 07:00
BOSTON	071 Provide economic aid	SCHOOL	28590	2018-01-20 20:30
CANADIAN	043 Host a visit	CHINESE	22035	2018-01-16 07:15
PRESIDENT	173 Arrest, detain, or charge with legal action 	THE HAGUE	11040	2018-01-08 16:00
PRESIDENT	050 Engage in diplomatic cooperation, not specified below	DANIEL INOUYE	23865	2018-01-17 13:45
SECRETARY OF STATE	080 Yield, not specified below 	BUSINESS	6435	2018-01-05 11:15
UNITED STATES	1123 Accuse of aggression	RUSSIA	31215	2018-01-22 16:15
POLICEMEN	190 Use conventional military force, not specified below	HONDA	24825	2018-01-18 05:45
MICROSOFT	046 Engage in negotiation	PRESIDENT	25035	2018-01-18 09:15
THE US	173 Arrest, detain, or charge with legal action 	AUSTRALIAN	21570	2018-01-15 23:30
UNITED STATES	051 Praise or endorse	MASHHAD	12150	2018-01-09 10:30
LAHORE	042 Make a visit	PAKISTAN	33165	2018-01-24 00:45
PRESIDENT	0874 Retreat or surrender militarily	UNITED STATES	21585	2018-01-15 23:45
ADMINISTRATION	0232 Appeal for military aid	PROFESSOR	34005	2018-01-24 14:45
INVESTOR	120 Reject, not specified below	JACOB ZUMA	17970	2018-01-13 11:30
ISLAMABAD	084 Return, release, not specified below	AL QAEDA	9735	2018-01-07 18:15
SCHOOL	0874 Retreat or surrender militarily	PRINCE	4875	2018-01-04 09:15
IRAN	020 Appeal, not specified below	GOVERNMENT	4980	2018-01-04 11:00
COUNSEL	111 Criticize or denounce 	KADUNA	27990	2018-01-20 10:30
UNITED STATES	051 Praise or endorse	ISRAEL	19605	2018-01-14 14:45
UNITED STATES	0841 Return, release person(s)	CITIZEN	15900	2018-01-12 01:00
MADAGASCAR	010 Make statement, not specified below	SCIENTIST	19095	2018-01-14 06:15
THE EUROPEAN UNION	112 Accuse, not specified below	BRITAIN	18225	2018-01-13 15:45
BANGLADESH	040 Consult, not specified below	CABINET	21330	2018-01-15 19:30
NEVADA	173 Arrest, detain, or charge with legal action 	CRIMINAL	31395	2018-01-22 19:15
HONDA	042 Make a visit	REBEL	3180	2018-01-03 05:00
FRENCH	010 Make statement, not specified below	JOURNALIST	28830	2018-01-21 00:30
UNITED STATES	010 Make statement, not specified below	AFRICA	27690	2018-01-20 05:30
UNITED STATES	036 Express intent to meet or negotiate	NORTH AMERICA	27390	2018-01-20 00:30
HOSPITAL	043 Host a visit	UNITED STATES	5055	2018-01-04 12:15
ANDHRA PRADESH	071 Provide economic aid	GOVERNMENT	3525	2018-01-03 10:45
BELGIAN	170 Coerce, not specified below 	BELGIUM	17715	2018-01-13 07:15
RUSSIA	036 Express intent to meet or negotiate	EGYPT	31365	2018-01-22 18:45
SOUTH CAROLINA	163 Impose embargo, boycott, or sanctions	ISRAEL	15480	2018-01-11 18:00
BERLIN	046 Engage in negotiation	REFUGEE	33795	2018-01-24 11:15
INDIANA	0214 Appeal for intelligence	POLICE	5460	2018-01-04 19:00
JAPAN	040 Consult, not specified below	JOURNALIST	12360	2018-01-09 14:00
POLAND	021 Appeal for material cooperation, not specified below	BAVARIA	9825	2018-01-07 19:45
IRELAND	160 Reduce relations, not specified below	GUNMEN	9720	2018-01-07 18:00
BISHOP	100 Demand, not specified below	UNITED STATES	23775	2018-01-17 12:15
PAKISTANI	010 Make statement, not specified below	ARMY OFFICER	20670	2018-01-15 08:30
TURKEY	010 Make statement, not specified below	TURKISH	6750	2018-01-05 16:30
COMPANY	043 Host a visit	UNITED STATES	18945	2018-01-14 03:45
JERSEY	010 Make statement, not specified below	POLICE	9225	2018-01-07 09:45
POLICE	040 Consult, not specified below	CANADA	13380	2018-01-10 07:00
TEXAS	010 Make statement, not specified below	PHYSICIAN	21180	2018-01-15 17:00
RUSSIA	030 Express intent to cooperate, not specified below	FRANCE	12390	2018-01-09 14:30
CAPE TOWN	190 Use conventional military force, not specified below	AFRICA	4095	2018-01-03 20:15
CHINA	046 Engage in negotiation	UNITED STATES	20325	2018-01-15 02:45
UNITED STATES	013 Make optimistic comment	CHINESE	34020	2018-01-24 15:00
CHIEF MINISTER	040 Consult, not specified below	KARNATAKA	24210	2018-01-17 19:30
PRISON	020 Appeal, not specified below	MADRID	5040	2018-01-04 12:00
PARLIAMENT	020 Appeal, not specified below	ARMY	3015	2018-01-03 02:15
NIGERIA	020 Appeal, not specified below	GOVERNOR	27615	2018-01-20 04:15
MOROCCO	043 Host a visit	UGANDA	23910	2018-01-17 14:30
AUSTRALIA	071 Provide economic aid	INVESTOR	1110	2018-01-01 18:30
AMERICAN	043 Host a visit	UNITED STATES	4815	2018-01-04 08:15
