triplet_id	entity	entity_type	relationship	target	target_type	start_date	end_date	ticker	year	source_file	chunk_id
cat_2017_page_139_chunk_1_triplet_56	cat	ORG	produces	oil and gas solution	PRODUCT	January 2017	December 2017	CAT	2017	CAT_10k_2017.pdf	chunk_1
bf-b_2016_page_5_chunk_1_triplet_6	bf-b	ORG	produces	sponsorship	CONCEPT	January 2016	December 2016	BF-B	2016	BF-B_10k_2016.pdf	chunk_1
panw_2024_page_6_chunk_1_triplet_12	panw	ORG	produces	cn-series	PRODUCT	January 2024	December 2024	PANW	2024	PANW_10k_2024.pdf	chunk_1
cat_2015_page_140_chunk_1_triplet_14	all other operating segment	SEGMENT	produces	undercarriage	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_1
gme_2014_page_10_chunk_1_triplet_6	gme	ORG	produces	dlc	PRODUCT	January 2014	December 2014	GME	2014	GME_10k_2014.pdf	chunk_1
cat_2015_page_51_chunk_1_triplet_31	resource industry	SEGMENT	produces	hardrock continuous mining system	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_1
aapl_2018_page_5_chunk_1_triplet_19	aapl	ORG	produces	app store	PRODUCT	January 2008	default	AAPL	2018	AAPL_10k_2018.pdf	chunk_1
pm_2021_page_34_chunk_3_triplet_3	pm	ORG	produces	official product name	PRODUCT	January 2021	December 2021	PM	2021	PM_10k_2021.pdf	chunk_3
cat_2015_page_4_chunk_1_triplet_6	cat	ORG	produces	construction and mining equipment	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_1
aap_2020_page_5_chunk_2_triplet_55	aap	ORG	produces	oil filter	PRODUCT	January 2020	December 2020	AAP	2020	AAP_10k_2020.pdf	chunk_2
rcl_2022_page_14_chunk_2_triplet_3	rcl	ORG	produces	spectrum of the sea	PRODUCT	January 2019	December 2019	RCL	2022	RCL_10k_2022.pdf	chunk_2
cat_2016_page_145_chunk_1_triplet_44	resource industry	SEGMENT	produces	off-highway truck	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
cmcsa_2024_page_7_chunk_1_triplet_3	cmcsa	ORG	produces	docsis 3.1	PRODUCT	January 2024	December 2024	CMCSA	2024	CMCSA_10k_2024.pdf	chunk_1
pm_2018_page_26_chunk_1_triplet_2	pm	ORG	produces	roll-your-own	PRODUCT	January 2018	December 2018	PM	2018	PM_10k_2018.pdf	chunk_1
pm_2017_page_77_chunk_2_triplet_6	pm	ORG	produces	delicados	PRODUCT	January 2017	December 2017	PM	2017	PM_10k_2017.pdf	chunk_2
ctas_2024_page_3_chunk_1_triplet_9	ctas	ORG	produces	safety product	PRODUCT	January 2024	December 2024	CTAS	2024	CTAS_10k_2024.pdf	chunk_1
tel_2019_page_98_chunk_2_triplet_4	tel	ORG	produces	industrial equipment	PRODUCT	January 2019	December 2019	TEL	2019	TEL_10k_2019.pdf	chunk_2
pm_2022_page_34_chunk_3_triplet_10	pm	ORG	produces	heets dimension	PRODUCT	January 2022	December 2022	PM	2022	PM_10k_2022.pdf	chunk_3
cmcsa_2024_page_44_chunk_1_triplet_11	cmcsa	ORG	produces	technology	PRODUCT	January 2024	December 2024	CMCSA	2024	CMCSA_10k_2024.pdf	chunk_1
cnp_2021_page_182_chunk_2_triplet_4	cnp	ORG	produces	retail gas sale	PRODUCT	January 2021	December 2021	CNP	2021	CNP_10k_2021.pdf	chunk_2
khc_2022_page_29_chunk_1_triplet_1	khc	ORG	produces	food and beverage product	PRODUCT	January 2022	December 2022	KHC	2022	KHC_10k_2022.pdf	chunk_1
amzn_2014_page_70_chunk_3_triplet_3	amzn	ORG	produces	co-branded card	PRODUCT	January 2014	December 2014	AMZN	2014	AMZN_10k_2014.pdf	chunk_3
cat_2016_page_5_chunk_2_triplet_20	cat	ORG	produces	prep tractor	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_2
cat_2016_page_145_chunk_1_triplet_19	construction industry	SEGMENT	produces	select work tool	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
tfc_2023_page_153_chunk_3_triplet_16	tfc	ORG	produces	estate planning	PRODUCT	January 2023	December 2023	TFC	2023	TFC_10k_2023.pdf	chunk_3
bf-b_2023_page_65_chunk_5_triplet_18	bf-b	ORG	produces	bottling service	SERVICE	January 2023	December 2023	BF-B	2023	BF-B_10k_2023.pdf	chunk_5
rcl_2017_page_15_chunk_1_triplet_7	meyer turku shipyard	COMP	produces	ship	PRODUCT	January 2017	December 2017	RCL	2017	RCL_10k_2017.pdf	chunk_1
tfc_2022_page_81_chunk_1_triplet_2	tfc	ORG	produces	trs business loan	FIN_INST	January 2022	December 2022	TFC	2022	TFC_10k_2022.pdf	chunk_1
cat_2017_page_50_chunk_1_triplet_31	energy & transportation	SEGMENT	produces	marine and oil and gas industry solution	PRODUCT	January 2017	December 2017	CAT	2017	CAT_10k_2017.pdf	chunk_1
amzn_2016_page_23_chunk_1_triplet_13	amzn	ORG	produces	advertising service	PRODUCT	January 2016	December 2016	AMZN	2016	AMZN_10k_2016.pdf	chunk_1
pm_2018_page_26_chunk_1_triplet_6	pm	ORG	produces	cigarillo	PRODUCT	January 2018	December 2018	PM	2018	PM_10k_2018.pdf	chunk_1
cat_2016_page_145_chunk_1_triplet_56	resource industry	SEGMENT	produces	electronics and control system	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
aap_2016_page_7_chunk_2_triplet_40	aap	ORG	produces	fuel additive	PRODUCT	January 2016	December 2016	AAP	2016	AAP_10k_2016.pdf	chunk_2
cat_2014_page_5_chunk_1_triplet_3	cat	ORG	produces	backhoe loader	PRODUCT	January 2014	December 2014	CAT	2014	CAT_10k_2014.pdf	chunk_1
vz_2020_page_68_chunk_3_triplet_10	vz	ORG	produces	interest on equipment financing	PRODUCT	January 2020	December 2020	VZ	2020	VZ_10k_2020.pdf	chunk_3
amzn_2019_page_24_chunk_1_triplet_15	amzn	ORG	produces	digital content subscription	PRODUCT	January 2019	December 2019	AMZN	2019	AMZN_10k_2019.pdf	chunk_1
aapl_2020_page_41_chunk_1_triplet_7	aapl	ORG	produces	product	PRODUCT	January 2020	December 2020	AAPL	2020	AAPL_10k_2020.pdf	chunk_1
ctas_2015_page_15_chunk_1_triplet_5	ctas	ORG	produces	uniform	PRODUCT	January 2015	default_end_timestamp	CTAS	2015	CTAS_10k_2015.pdf	chunk_1
rcl_2021_page_13_chunk_2_triplet_8	rcl	ORG	produces	quantum of the sea	PRODUCT	January 2014	December 2014	RCL	2021	RCL_10k_2021.pdf	chunk_2
rcl_2015_page_94_chunk_4_triplet_3	rcl	ORG	produces	new cruise ship	PRODUCT	January 2015	December 2015	RCL	2015	RCL_10k_2015.pdf	chunk_4
cmcsa_2014_page_122_chunk_4_triplet_60	cmcsa	ORG	produces	operate income	FIN_METRIC	January 2014	December 2014	CMCSA	2014	CMCSA_10k_2014.pdf	chunk_4
aapl_2018_page_5_chunk_1_triplet_1	aapl	ORG	produces	ipad	PRODUCT	April 2010	default_end_timestamp	AAPL	2018	AAPL_10k_2018.pdf	chunk_1
aapl_2015_page_26_chunk_3_triplet_12	aapl	ORG	produces	licensing	PRODUCT	January 2015	December 2015	AAPL	2015	AAPL_10k_2015.pdf	chunk_3
aapl_2017_page_3_chunk_1_triplet_2	aapl	ORG	produces	ipad	PRODUCT	January 2017	December 2017	AAPL	2017	AAPL_10k_2017.pdf	chunk_1
aap_2019_page_40_chunk_1_triplet_12	aap	ORG	produces	battery	PRODUCT	January 2019	December 2019	AAP	2019	AAP_10k_2019.pdf	chunk_1
cat_2019_page_5_chunk_3_triplet_32	cat	ORG	produces	on-highway vocational truck	PRODUCT	January 2019	December 2019	CAT	2019	CAT_10k_2019.pdf	chunk_3
aap_2021_page_6_chunk_2_triplet_2	aap	ORG	produces	battery accessory	PRODUCT	January 2021	December 2021	AAP	2021	AAP_10k_2021.pdf	chunk_2
aapl_2015_page_26_chunk_3_triplet_15	aapl	ORG	produces	apple watch	PRODUCT	January 2015	December 2015	AAPL	2015	AAPL_10k_2015.pdf	chunk_3
aapl_2016_page_5_chunk_1_triplet_13	aapl	ORG	produces	apple watch series 2	PRODUCT	September 2016	December 2016	AAPL	2016	AAPL_10k_2016.pdf	chunk_1
khc_2018_page_6_chunk_2_triplet_4	khc	ORG	produces	frozen and chill meal	PRODUCT	January 2018	December 2018	KHC	2018	KHC_10k_2018.pdf	chunk_2
cat_2015_page_5_chunk_1_triplet_32	cat	ORG	produces	hard rock vehicle	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_1
rcl_2023_page_11_chunk_2_triplet_5	rcl	ORG	produces	spectrum of the sea	PRODUCT	January 2023	December 2023	RCL	2023	RCL_10k_2023.pdf	chunk_2
vz_2018_page_4_chunk_1_triplet_2	vz	ORG	produces	hd voice	PRODUCT	January 2018	December 2018	VZ	2018	VZ_10k_2018.pdf	chunk_1
cat_2018_page_5_chunk_2_triplet_23	cat	ORG	produces	track-type loader	PRODUCT	January 2018	December 2018	CAT	2018	CAT_10k_2018.pdf	chunk_2
ctas_2017_page_15_chunk_1_triplet_19	ctas	ORG	produces	storage	PRODUCT	November 2014	December 2017	CTAS	2017	CTAS_10k_2017.pdf	chunk_1
bf-b_2016_page_32_chunk_2_triplet_7	bf-b	ORG	produces	finlandia	PRODUCT	January 2016	December 2016	BF-B	2016	BF-B_10k_2016.pdf	chunk_2
khc_2017_page_8_chunk_2_triplet_8	khc	ORG	produces	maxwell house	PRODUCT	January 2017	December 2017	KHC	2017	KHC_10k_2017.pdf	chunk_2
ctas_2017_page_16_chunk_2_triplet_3	ctas	ORG	produces	first aid service	PRODUCT	January 2017	December 2017	CTAS	2017	CTAS_10k_2017.pdf	chunk_2
cnp_2019_page_22_chunk_1_triplet_11	cnp	ORG	produces	produced water gathering	PRODUCT	January 2019	December 2019	CNP	2019	CNP_10k_2019.pdf	chunk_1
cmcsa_2023_page_4_chunk_1_triplet_17	cmcsa	ORG	produces	news content	PRODUCT	January 2023	December 2023	CMCSA	2023	CMCSA_10k_2023.pdf	chunk_1
aapl_2017_page_3_chunk_1_triplet_16	aapl	ORG	produces	applecare	PRODUCT	January 2017	December 2017	AAPL	2017	AAPL_10k_2017.pdf	chunk_1
bf-b_2016_page_32_chunk_3_triplet_10	bf-b	ORG	produces	jack daniel 's single barrel collection	PRODUCT	January 2016	December 2016	BF-B	2016	BF-B_10k_2016.pdf	chunk_3
tel_2015_page_9_chunk_1_triplet_50	tel	ORG	produces	industrial automation	PRODUCT	January 2015	December 2015	TEL	2015	TEL_10k_2015.pdf	chunk_1
panw_2024_page_45_chunk_1_triplet_2	panw	ORG	produces	cortex x sia m	PRODUCT	January 2024	December 2024	PANW	2024	PANW_10k_2024.pdf	chunk_1
tel_2020_page_5_chunk_1_triplet_20	tel	ORG	produces	interventional medical component	PRODUCT	January 2020	December 2020	TEL	2020	TEL_10k_2020.pdf	chunk_1
tfc_2024_page_7_chunk_2_triplet_29	tfc	ORG	produces	wealth management	PRODUCT	January 2024	December 2024	TFC	2024	TFC_10k_2024.pdf	chunk_2
tel_2022_page_5_chunk_3_triplet_10	transportation solution	SEGMENT	produces	advanced auto connectivity	PRODUCT	January 2022	December 2022	TEL	2022	TEL_10k_2022.pdf	chunk_3
cmcsa_2015_page_59_chunk_1_triplet_11	cmcsa	ORG	produces	program	PRODUCT	January 2015	December 2015	CMCSA	2015	CMCSA_10k_2015.pdf	chunk_1
cat_2018_page_142_chunk_1_triplet_33	energy & transportation	SEGMENT	produces	on-highway vocational truck	PRODUCT	January 2018	December 2018	CAT	2018	CAT_10k_2018.pdf	chunk_1
cat_2021_page_5_chunk_5_triplet_14	cat	SEGMENT	produces	diesel-electric locomotive	PRODUCT	January 2021	December 2021	CAT	2021	CAT_10k_2021.pdf	chunk_5
ctas_2019_page_3_chunk_1_triplet_11	ctas	ORG	produces	test service	PRODUCT	January 2019	December 2019	CTAS	2019	CTAS_10k_2019.pdf	chunk_1
cmcsa_2014_page_122_chunk_4_triplet_62	cmcsa	ORG	produces	asset	FIN_METRIC	January 2014	December 2014	CMCSA	2014	CMCSA_10k_2014.pdf	chunk_4
aapl_2020_page_24_chunk_3_triplet_5	aapl	ORG	produces	apple tv device	PRODUCT	January 2020	December 2020	AAPL	2020	AAPL_10k_2020.pdf	chunk_3
tfc_2020_page_40_chunk_1_triplet_2	tfc	ORG	produces	payment service	PRODUCT	January 2020	December 2020	TFC	2020	TFC_10k_2020.pdf	chunk_1
cat_2021_page_5_chunk_5_triplet_12	energy & transportation	SEGMENT	produces	remanufactured engine	PRODUCT	January 2021	December 2021	CAT	2021	CAT_10k_2021.pdf	chunk_5
cat_2020_page_5_chunk_4_triplet_17	cat	ORG	produces	machinery component	PRODUCT	January 2020	December 2020	CAT	2020	CAT_10k_2020.pdf	chunk_4
aapl_2018_page_6_chunk_1_triplet_14	aapl	ORG	produces	siri	PRODUCT	January 2018	December 2018	AAPL	2018	AAPL_10k_2018.pdf	chunk_1
aap_2021_page_45_chunk_2_triplet_4	aap	ORG	produces	miscellaneous product	PRODUCT	January 2022	January 2022	AAP	2021	AAP_10k_2021.pdf	chunk_2
khc_2017_page_6_chunk_2_triplet_5	khc	ORG	produces	meat and seafood	PRODUCT	January 2017	December 2017	KHC	2017	KHC_10k_2017.pdf	chunk_2
aapl_2023_page_26_chunk_2_triplet_5	aapl	ORG	produces	service	PRODUCT	January 2023	December 2023	AAPL	2023	AAPL_10k_2023.pdf	chunk_2
cat_2015_page_140_chunk_1_triplet_6	cat	ORG	produces	rail-related service	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_1
aapl_2017_page_70_chunk_2_triplet_5	aapl	ORG	produces	other product	PRODUCT	January 2017	December 2017	AAPL	2017	AAPL_10k_2017.pdf	chunk_2
ctas_2019_page_67_chunk_1_triplet_6	ctas	ORG	produces	mat	PRODUCT	January 2019	December 2019	CTAS	2019	CTAS_10k_2019.pdf	chunk_1
khc_2015_page_4_chunk_2_triplet_4	khc	ORG	produces	polly-o and athenos cheese	PRODUCT	January 2015	December 2015	KHC	2015	KHC_10k_2015.pdf	chunk_2
cat_2024_page_6_chunk_1_triplet_4	cat	ORG	produces	integrate system	PRODUCT	January 2024	December 2024	CAT	2024	CAT_10k_2024.pdf	chunk_1
vz_2020_page_23_chunk_1_triplet_34	vz	SEGMENT	produces	field service management	PRODUCT	January 2020	December 2020	VZ	2020	VZ_10k_2020.pdf	chunk_1
amzn_2016_page_68_chunk_3_triplet_22	amzn	ORG	produces	co-branded credit card agreement	PRODUCT	January 2016	December 2016	AMZN	2016	AMZN_10k_2016.pdf	chunk_3
ctas_2019_page_67_chunk_1_triplet_11	ctas	ORG	produces	catalog item	PRODUCT	January 2019	December 2019	CTAS	2019	CTAS_10k_2019.pdf	chunk_1
aap_2019_page_6_chunk_2_triplet_13	aap	ORG	produces	exhaust system	PRODUCT	January 2019	December 2019	AAP	2019	AAP_10k_2019.pdf	chunk_2
cat_2016_page_57_chunk_1_triplet_28	material handle & underground	SEGMENT	produces	large wheel loader	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
khc_2024_page_6_chunk_2_triplet_12	khc	ORG	produces	master sauce	PRODUCT	January 2024	December 2024	KHC	2024	KHC_10k_2024.pdf	chunk_2
tel_2015_page_7_chunk_1_triplet_11	tel	ORG	produces	specialized tool	PRODUCT	January 2015	December 2015	TEL	2015	TEL_10k_2015.pdf	chunk_1
cat_2021_page_5_chunk_1_triplet_1	cat	ORG	produces	excavator	PRODUCT	January 2021	December 2021	CAT	2021	CAT_10k_2021.pdf	chunk_1
khc_2022_page_27_chunk_1_triplet_11	khc	ORG	produces	product	PRODUCT	January 2022	December 2022	KHC	2022	KHC_10k_2022.pdf	chunk_1
amzn_2021_page_65_chunk_5_triplet_25	amzn	ORG	produces	display advertising	PRODUCT	January 2021	December 2021	AMZN	2021	AMZN_10k_2021.pdf	chunk_5
cmcsa_2015_page_7_chunk_1_triplet_4	cmcsa	ORG	produces	hd service	PRODUCT	January 2015	December 2015	CMCSA	2015	CMCSA_10k_2015.pdf	chunk_1
pom_2015_page_25_chunk_1_triplet_19	pepco energy service	SEGMENT	produces	energy saving performance contracting	PRODUCT	January 2015	December 2015	POM	2015	POM_10k_2015.pdf	chunk_1
khc_2021_page_27_chunk_1_triplet_12	khc	ORG	produces	product	PRODUCT	January 2021	December 2021	KHC	2021	KHC_10k_2021.pdf	chunk_1
gme_2014_page_39_chunk_3_triplet_4	gme	ORG	produces	license gaming merchandise	PRODUCT	January 2014	December 2014	GME	2014	GME_10k_2014.pdf	chunk_3
aapl_2017_page_26_chunk_3_triplet_6	aapl	ORG	produces	mac app store	PRODUCT	January 2017	December 2017	AAPL	2017	AAPL_10k_2017.pdf	chunk_3
cat_2020_page_5_chunk_2_triplet_9	cat	ORG	produces	skid steer loader	PRODUCT	January 2020	December 2020	CAT	2020	CAT_10k_2020.pdf	chunk_2
ctas_2021_page_20_chunk_3_triplet_5	uniform rental and facility service	SEGMENT	produces	flame resistant clothing	PRODUCT	January 2021	December 2021	CTAS	2021	CTAS_10k_2021.pdf	chunk_3
aapl_2019_page_54_chunk_5_triplet_18	aapl	ORG	produces	hardware product	PRODUCT	January 2019	December 2019	AAPL	2019	AAPL_10k_2019.pdf	chunk_5
ctas_2021_page_20_chunk_3_triplet_7	uniform rental and facility service	SEGMENT	produces	mop	PRODUCT	January 2021	December 2021	CTAS	2021	CTAS_10k_2021.pdf	chunk_3
aap_2020_page_5_chunk_2_triplet_41	aap	ORG	produces	tire repair accessory	PRODUCT	January 2020	December 2020	AAP	2020	AAP_10k_2020.pdf	chunk_2
cnp_2020_page_51_chunk_1_triplet_10	houston electric	SEGMENT	produces	service wire	PRODUCT	January 2020	December 2020	CNP	2020	CNP_10k_2020.pdf	chunk_1
cmcsa_2015_page_116_chunk_2_triplet_18	cable network	SEGMENT	produces	operate income	FIN_METRIC	January 2015	December 2015	CMCSA	2015	CMCSA_10k_2015.pdf	chunk_2
cat_2017_page_48_chunk_1_triplet_5	cat	ORG	produces	well stimulation pump	PRODUCT	January 2017	December 2017	CAT	2017	CAT_10k_2017.pdf	chunk_1
aapl_2017_page_4_chunk_1_triplet_15	aapl	ORG	produces	o x	PRODUCT	January 2017	default_end_timestamp	AAPL	2017	AAPL_10k_2017.pdf	chunk_1
panw_2024_page_11_chunk_1_triplet_5	panw	ORG	produces	copyright	PRODUCT	January 2024	December 2024	PANW	2024	PANW_10k_2024.pdf	chunk_1
rcl_2024_page_36_chunk_1_triplet_13	rcl	ORG	produces	passenger cruise ship	PRODUCT	January 2024	December 2024	RCL	2024	RCL_10k_2024.pdf	chunk_1
ctas_2021_page_46_chunk_2_triplet_2	ctas	ORG	produces	first aid service	PRODUCT	January 2021	December 2021	CTAS	2021	CTAS_10k_2021.pdf	chunk_2
cat_2016_page_145_chunk_1_triplet_63	energy & transportation	SEGMENT	produces	diesel-electric locomotive	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
ctas_2021_page_46_chunk_2_triplet_4	ctas	ORG	produces	uniform sale	PRODUCT	January 2021	December 2021	CTAS	2021	CTAS_10k_2021.pdf	chunk_2
panw_2024_page_6_chunk_1_triplet_15	panw	ORG	produces	sd-wan	PRODUCT	January 2024	December 2024	PANW	2024	PANW_10k_2024.pdf	chunk_1
pm_2018_page_26_chunk_1_triplet_5	pm	ORG	produces	cigar	PRODUCT	January 2018	December 2018	PM	2018	PM_10k_2018.pdf	chunk_1
rcl_2015_page_57_chunk_1_triplet_4	rcl	ORG	produces	anthem of the sea	PRODUCT	January 2015	December 2015	RCL	2015	RCL_10k_2015.pdf	chunk_1
cat_2023_page_5_chunk_1_triplet_21	cat	ORG	produces	high productivity equipment	PRODUCT	January 2023	December 2023	CAT	2023	CAT_10k_2023.pdf	chunk_1
aapl_2014_page_6_chunk_1_triplet_15	aapl	ORG	produces	audio software	PRODUCT	July 2014	December 2014	AAPL	2014	AAPL_10k_2014.pdf	chunk_1
cmcsa_2015_page_116_chunk_2_triplet_53	corporate and other	SEGMENT	produces	depreciation and amortization	FIN_METRIC	January 2015	December 2015	CMCSA	2015	CMCSA_10k_2015.pdf	chunk_2
pm_2021_page_34_chunk_3_triplet_13	pm	ORG	produces	terea	PRODUCT	January 2021	December 2021	PM	2021	PM_10k_2021.pdf	chunk_3
cat_2022_page_5_chunk_1_triplet_72	cat	ORG	produces	solution	PRODUCT	January 2022	December 2022	CAT	2022	CAT_10k_2022.pdf	chunk_1
ctas_2020_page_3_chunk_1_triplet_19	ctas	ORG	produces	fire extinguisher and test	PRODUCT	January 2020	December 2020	CTAS	2020	CTAS_10k_2020.pdf	chunk_1
